"title","labels","body"
"[EPIC] Infraestrutura, documentacao e qualidade","type:epic|area:infra|priority:P0|track:shared","## Contexto
Agrupa o setup inicial do projeto: build, CI, docker, Swagger, tratamento de erros, logging e convencoes. Base para qualquer feature funcionar de forma confiavel.

## Escopo
- Docker Compose para dev (MySQL + app).
- GitHub Actions para build + testes.
- Swagger/OpenAPI com autenticacao JWT documentada.
- README do projeto.
- ApiResponse / GlobalExceptionHandler padronizados.
- Testes unitarios e de integracao dos fluxos principais.

## Criterios de aceite
- [ ] Todas as issues filhas desta epic estao concluidas.
- [ ] Pipeline verde no main.
- [ ] Documentacao minima suficiente para onboarding de novo dev.

---
**Epic:** `infra` | **Track:** `shared`"
"[EPIC] Autenticacao e conta do pai","type:epic|area:auth|priority:P0|track:A","## Contexto
O usuario principal do app mobile e o pai/responsavel. Precisamos de cadastro, login JWT, refresh, login Google (OAuth2), recuperacao de senha e gestao do proprio perfil.

## Escopo
- Entidade Usuario + migration.
- Registro, login, refresh.
- Login Google (OAuth2).
- Esqueci minha senha / reset.
- Perfil do pai (me).

## Criterios de aceite
- [ ] Todas as issues filhas concluidas.
- [ ] Fluxo completo testavel via Swagger.

---
**Epic:** `auth` | **Track:** `A`"
"[EPIC] Vinculo pai - aluno","type:epic|area:vinculo|priority:P0|track:A","## Contexto
O pai so pode visualizar dados de alunos vinculados a ele. Cada pai pode ter N filhos; o vinculo e criado explicitamente informando matricula (e um codigo de validacao do aluno, definido na modelagem do endpoint).

## Escopo
- Criar, listar e remover vinculos.
- Filtro/aspect de autorizacao aplicavel em alunos, emprestimos e metas.

## Criterios de aceite
- [ ] Pai so enxerga dados de alunos vinculados.
- [ ] Tentativa de acesso cruzado retorna 403.

---
**Epic:** `vinculo` | **Track:** `A`"
"[EPIC] Catalogo de livros","type:epic|area:livros|priority:P1|track:B","## Contexto
Catalogo de livros apenas para leitura (o pai nao cadastra livros, apenas registra a leitura de um livro ja existente para o filho). Independe dos demais tracks, pode rodar em paralelo.

## Escopo
- Entidade Livro completa (autor, sinopse, capa, categoria).
- Listagem/pesquisa.
- Detalhes.

## Criterios de aceite
- [ ] Endpoints GET /livros e GET /livros/{id} disponiveis.
- [ ] Busca por titulo/autor funciona.

---
**Epic:** `livros` | **Track:** `B`"
"[EPIC] Leituras (emprestimos) do aluno","type:epic|area:emprestimos|priority:P0|track:A","## Contexto
Historico de leituras do aluno: cadastro de nova leitura (nao de novo livro), livro atual em leitura, conclusao/devolucao, historico completo. Usado tambem como base para progresso de metas.

## Escopo
- Modelagem revisada.
- POST nova leitura.
- Historico.
- Livro atual.
- Concluir leitura.

## Criterios de aceite
- [ ] Pai consegue registrar leitura para um filho vinculado.
- [ ] Historico e livro atual carregam corretamente.

---
**Epic:** `emprestimos` | **Track:** `A`"
"[EPIC] Metas de leitura","type:epic|area:metas|priority:P0|track:B","## Contexto
O pai define metas para o filho (ex.: 'Ler 4 livros', 'Ler 1 livro de fantasia'). Cada meta tem tipo, titulo, duracao (inicio-fim) e forma de validacao (booleana 0/1 ou percentual sobre um valor alvo). Progresso pode ser atualizado manualmente ou automaticamente por integracao com emprestimos.

## Escopo
- Modelagem da entidade Meta.
- CRUD de metas.
- Integracao com emprestimos para progresso automatico.

## Criterios de aceite
- [ ] Pai cria, lista, atualiza e remove metas para filhos vinculados.
- [ ] Progresso atualizado automaticamente quando emprestimo se encaixa na regra.

---
**Epic:** `metas` | **Track:** `B`"
"chore(infra): validar docker-compose dev (MySQL + app) e application.yml","type:chore|area:infra|priority:P0|track:shared","## Contexto
O projeto ja tem docker-compose.yml e application.yml no scaffold. Precisamos garantir que `docker compose up` sobe MySQL + app do zero e que perfis `dev` e `prod` estao corretos.

## Escopo
- Revisar docker-compose.yml (healthcheck do MySQL, volumes, variaveis).
- Revisar application.yml / application-dev.yml / application-prod.yml.
- Documentar variaveis de ambiente obrigatorias.

## Criterios de aceite
- [ ] `docker compose up --build` sobe o app do zero em maquina limpa.
- [ ] Variaveis sensiveis (JWT secret, DB password) vem de env, nao hardcoded.
- [ ] Flyway aplica todas as migrations na subida.

---
**Epic:** `infra` | **Track:** `shared`"
"chore(infra): configurar GitHub Actions (build + test)","type:chore|area:infra|priority:P0|track:shared","## Contexto
Ja existe um workflow inicial (commit f03c4fc). Revisar e garantir que build + testes rodam em PR para main e disparam status check obrigatorio.

## Escopo
- Workflow roda em push/PR para main.
- Cacheia dependencias Maven.
- Reporta falha em teste/compilacao.

## Criterios de aceite
- [ ] PR sem build verde nao pode ser mergeado (branch protection configurado).
- [ ] Tempo total < 5 min em PR medio.

---
**Epic:** `infra` | **Track:** `shared`"
"chore(infra): configurar Swagger/OpenAPI com autenticacao JWT","type:chore|area:infra|priority:P1|track:shared","## Contexto
SwaggerConfig ja existe no scaffold. Completar para documentar JWT (Bearer), OAuth2 e todos os endpoints agrupados por tag.

## Escopo
- Security scheme JWT Bearer configurado.
- Tag por modulo (auth, vinculo, alunos, livros, emprestimos, metas).
- Exemplos de request/response onde faz sentido.

## Criterios de aceite
- [ ] `/swagger-ui.html` acessivel.
- [ ] `Authorize` aceita JWT e o envia nos endpoints protegidos.

---
**Epic:** `infra` | **Track:** `shared`"
"docs: README do projeto mobile (escopo, arquitetura, como rodar)","type:docs|area:infra|priority:P1|track:shared","## Contexto
README atual e o default do Spring Initializr. Precisa explicar o escopo (API do app mobile do pai), relacao com `lottus-backend`, arquitetura em camadas e como rodar localmente.

## Escopo
- Visao geral e publico-alvo (pai/responsavel).
- Arquitetura e dependencias principais.
- Como rodar (docker + mvn).
- Convencoes de branch/commit/PR (1 PR por issue).

## Criterios de aceite
- [ ] Novo dev consegue subir o ambiente seguindo so o README.

---
**Epic:** `infra` | **Track:** `shared`"
"chore(infra): padronizar ApiResponse, GlobalExceptionHandler e validacao","type:chore|area:infra|priority:P1|track:shared","## Contexto
Ja existem `ApiResponse`, `BusinessException` e `GlobalExceptionHandler`. Fechar o contrato para que todos os controllers retornem o mesmo envelope e erros de validacao (Bean Validation) sejam traduzidos consistentemente.

## Escopo
- Envelope `{ success, data, error: { code, message, details } }` unificado.
- Handler para MethodArgumentNotValidException / ConstraintViolationException.
- Codigos de erro por dominio (AUTH_*, VINCULO_*, EMPRESTIMO_*, META_*).

## Criterios de aceite
- [ ] Qualquer erro da API cai no handler global e retorna no formato padrao.
- [ ] Documentado no Swagger.

---
**Epic:** `infra` | **Track:** `shared`"
